"course_id","tee_name","tee_length","tee_par","tee_rating","tee_slope"
1,"White",6611,73,0,0
1,"Yellow",6341,73,0,0
1,"Grey (W)",5986,74,0,0
2,"middle",6465,72,"",""
2,"forward",5410,72,"",""
3,"White",6327,70,71,128
3,"Yellow",6040,70,69.3,124
3,"Red (W)",5596,73,72.9,129
4,"White",6098,71,0,0
4,"Yellow",5792,71,0,0
4,"Grey (W)",5434,73,0,0
5,"White",6855,72,0,0
5,"Yellow",6139,70,0,0
5,"Red (W)",5590,72,0,0
6,"White",6804,72,0,0
6,"Yellow",6274,72,0,0
6,"Red (W)",5501,72,0,0
7,"White",6406,72,0,0
7,"Yellow",6107,72,0,0
7,"Red",5510,72,0,0
8,"White",6273,70,70.5,123
8,"Yellow",5942,70,68.6,116
8,"Red (W)",5471,72,72.1,124
9,"Blue",7107,73,74.6,133
9,"White",6810,73,73.5,128
9,"Yellow",6544,73,72.3,122
9,"Red",6143,73,70,119
9,"Red (W)",6143,73,76.3,130
10,"White",6371,72,0,0
10,"Yellow",5939,72,0,0
10,"Red (W)",5577,73,0,0
11,"White",471,27,0,0
12,"White",6035,70,0,0
12,"Yellow",5798,70,0,0
12,"Red (W)",5639,72,0,0
13,"White",6210,70,70.5,126
13,"Yellow",5773,69,68.4,119
13,"Red (W)",5515,73,72.6,129
14,"White",6314,70,70.5,125
14,"Yellow",6006,70,68.9,121
14,"Red",5574,72,72.3,127
15,"White (18-holes)",6088,70,0,0
15,"Yellow (18-holes)",5828,70,0,0
15,"Red (W) (18-holes)",5340,70,0,0
16,"Orange (18-hole)",4066,64,60.8,98
16,"Orange (18-hole) (W)",4066,64,63.8,106
16,"Green (18-hole)",3916,64,60.6,96
16,"Green (18-hole) (W)",3916,64,62.6,101
16,"Purple (18-hole)",3712,64,59.8,95
16,"Purple (18-hole) (W)",3712,64,61.4,101
18,"White",6224,70,68.7,117
18,"Yellow",6088,70,68,115
18,"Red (W)",5754,71,69.2,117
19,"White (18-hole)",5850,69,68.6,118
19,"Yellow (18-hole)",5523,69,66.8,117
19,"Red (18-hole)",5085,67,64.8,108
19,"Red (18-hole) (W)",5085,71,69.8,118
20,"White",6329,70,0,0
20,"Yellow",5991,70,0,0
20,"Red (W)",5472,72,0,0
21,"White",6232,70,0,0
21,"Yellow",5982,70,0,0
21,"Red (W)",5425,70,0,0
22,"White",6240,69,70.8,125
22,"Yellow",6050,69,69.6,122
22,"Red (W)",5398,71,71.9,128
23,"White",1268,27,0,0
23,"Yellow",1131,27,0,0
23,"Red (W)",1080,27,0,0
24,"White",6946,73,0,0
24,"Yellow",6556,73,0,0
24,"Ladies",5613,73,0,0
25,"Green",1072,27,0,0
27,"White",6036,69,70.1,123
27,"Yellow",5856,69,69,121
27,"Yellow (W)",5856,72,74.8,131
27,"Red",5636,69,67.8,124
27,"Red (W)",5636,72,73.3,127
28,"White",6243,69,70.9,130
28,"Yellow",5965,69,69.7,126
28,"Yellow (W)",5965,72,75.3,134
28,"Red",5594,68,68,118
28,"Red (W)",5594,72,72.9,130
29,"White",6053,69,69,116
29,"Yellow",5770,69,67.4,115
29,"Red (W)",5404,71,70.7,122
30,"White",1895,54,0,0
32,"White",5872,70,67.2,113
32,"Yellow",5634,70,66.5,109
32,"Red (W)",5117,70,65.1,109
33,"White",6050,71,0,0
33,"Yellow",5726,71,0,0
33,"Ladies",5243,71,0,0
33,"Junior",3593,71,0,0
34,"White",1027,27,0,0
35,"White",6091,71,70,129
35,"Yellow",5746,71,68.2,126
35,"Red (W)",5470,72,72.4,130
35,"Blue (W)",5206,72,70.7,127
36,"White (W)",5388,70,71.7,127
36,"White",5388,66,66.9,121
36,"Yellow",5222,66,66,118
36,"Yellow (W)",5222,70,70.5,127
36,"Red",4922,68,65.2,107
36,"Red (W)",4922,72,68.7,127
37,"White (18-hole)",5453,68,68.3,127
37,"Yellow (18-hole)",5146,68,66.3,125
37,"Red (18-hole)",4834,68,64.5,123
37,"Red (18-hole) (W)",4834,68,69.6,127
37,"Bronze (18-hole)",4810,70,69.9,127
