"course_id","name","address","region","county","phone_number","website","par","length","facility_range","facility_putting_green","rental_carts","rental_clubs"
1,"Beadlow Manor Golf & Country Club - Baron Course","Ampthill Road, Ampthill, Bedfordshire, SG17 5PH","England","Bedfordshire","","http://www.golfpass.com/",73,6611,true,true,true,false
2,"Vanity Fair Golf & Tennis Club","Pack Horse Ln, Ampthill, Bedfordshire, ","England","Bedfordshire","","http://www.golfpass.com/",72,6465,true,false,true,true
3,"Bedford & County Golf Club","Green Lane, Clapham, Bedford, Bedfordshire, MK416ET","England","Bedfordshire","","http://www.golfpass.com/",70,6039,false,true,true,false
4,"Beadlow Manor Golf & Country Club - Baroness Course","Ampthill Road, Bedford, Bedfordshire, SG17 5PH","England","Bedfordshire","","http://www.golfpass.com/",71,6098,true,true,true,false
5,"Mentmore Golf & Country Club","Mentmore, Bedford, Bedfordshire, LU70UA","England","Bedfordshire","","http://www.golfpass.com/","","",true,true,true,false
6,"Mentmore Golf & Country Club - Rothschild Course","Mentmore, Bedford, Bedfordshire, LU70UA","England","Bedfordshire","","http://www.golfpass.com/","","",true,true,true,false
7,"Chalgrave Manor Golf Club","Dunstable Road, Dunstable, Bedfordshire, LU5 6JN","England","Bedfordshire","","http://www.golfpass.com/",72,5510,false,true,true,false
8,"Dunstable Downs Golf Club","Whipsnade Road, Dunstable, Bedfordshire, LU62NB","England","Bedfordshire","","http://www.golfpass.com/",70,6322,false,true,true,false
9,"Luton Hoo Hotel, Golf, & Spa","The Mansion House, Luton, Bedfordshire, LU1 3TQ","England","Bedfordshire","","http://www.golfpass.com/",73,7107,true,true,true,true
10,"Downshire Golf Complex - Championship","Easthampstead Park, Bracknell, Berkshire, RG40 3DH","England","Berkshire","","http://www.golfpass.com/","","",true,true,true,true
11,"Downshire Golf Complex - Pitch & Putt Course","Easthampstead Park, Bracknell, Berkshire, RG40 3DH","England","Berkshire","","http://www.golfpass.com/","","",true,true,true,true
12,"Blue Mountain Golf & Conference Centre","Wood Lane, Binfield, Bracknell, Berkshire, RG42 4EX","England","Berkshire","","http://www.golfpass.com/","","",true,true,true,true
13,"Temple Golf Club","Henley Road, Maidenhead, Berkshire, SL6 5LH","England","Berkshire","","http://www.golfpass.com/",70,6210,false,true,true,false
14,"Maidenhead Golf Club","Maidenhead Golf Club, Maidenhead, Berkshire, SL62PZ","England","Berkshire","","http://www.golfpass.com/",70,6338,false,true,false,false
15,"Newbury Racecourse Golf Club","Bury's Bankk Rd., Newbury, Berkshire, RG19 8BZ","England","Berkshire","","http://www.golfpass.com/",70,6088,true,true,false,false
16,"Deanwood Park Golf Course","Stockcross, Newbury, Berkshire, RG20 8JP","England","Berkshire","","http://www.golfpass.com/",32,2114,true,true,true,true
17,"Newbury & Crookham Golf Simulator","Bury's Bank Road, Newbury, Berkshire, RG19 8BZ","England","Berkshire","","http://www.golfpass.com/","","",false,false,false,false
18,"Reading Golf Club","17 Kidmore End Road, Reading, Berkshire, RG4 8SG","England","Berkshire","","http://www.golfpass.com/",70,6222,true,true,true,true
19,"Billingbear Park Golf Course - The Old Course","The Straight Mile, Reading, Berkshire, RG40 5SJ","England","Berkshire","","http://www.golfpass.com/",69,5928,false,true,true,true
20,"Sonning Golf Club","Duffield Road, Sonning-on-Thames, Reading, Berkshire, RG4 6GJ","England","Berkshire","","http://www.golfpass.com/",70,6329,true,true,true,true
21,"Sand Martins Golf Club","Finchampstead Road, Reading, Berkshire, RG40 3RQ","England","Berkshire","","http://www.golfpass.com/",70,6232,true,true,true,true
22,"East Berkshire","Ravenswood Avenue, Reading, Berkshire, RG45 6BD","England","Berkshire","","http://www.golfpass.com/","","",false,true,false,false
23,"Billingbear Park Golf Course - Par 3 Course","The Straight Mile, Reading, Berkshire, RG40 5SJ","England","Berkshire","","http://www.golfpass.com/","","",false,true,true,true
24,"Magnolia Park Golf Club","Arncott Road, Aylesbury, Buckinghamshire, HP189XX","England","Buckinghamshire","","http://www.golfpass.com/","","",true,true,true,true
25,"Magnolia Park 9 Hole & Footgolf","Arncott Road, Aylesbury, Buckinghamshire, HP189XX","England","Buckinghamshire","","http://www.golfpass.com/","","",true,true,true,true
26,"Denham Golf club","Tilehouse Lane, Beaconsfiled, Buckinghamshire, UB9 5DE","England","Buckinghamshire","","http://www.golfpass.com/","","",false,false,false,false
27,"Harewood Downs Golf Club","Cokes Lane, Chalfont St Giles, Buckinghamshire, HP84TA","England","Buckinghamshire","","http://www.golfpass.com/","","",false,true,true,true
28,"Gerrards Cross Golf Club","Chalfont Park, Gerrards Cross, Buckinghamshire, SL9 0QA","England","Buckinghamshire","","http://www.golfpass.com/",69,6243,true,true,true,true
29,"Wycombe Heights Golf Centre","Rayners Avenue, High Wycombe, Buckinghamshire, HP109SZ","England","Buckinghamshire","","http://www.golfpass.com/","","",true,true,true,true
30,"Wycombe Heights Golf Centre - Par 3 Course","Rayners Avenue, High Wycombe, Buckinghamshire, HP109SZ","England","Buckinghamshire","","http://www.golfpass.com/",54,1955,true,true,true,true
31,"Hazlemere Golf Club Crazy Golf","Penn Road, High Wycombe, Buckinghamshire, HP15 7LR","England","Buckinghamshire","","http://www.golfpass.com/","","",false,false,false,false
32,"Three Locks Golf Club","Great Brickhill, Milton Keynes, Buckinghamshire, MK179BH","England","Buckinghamshire","","http://www.golfpass.com/",70,5872,false,true,true,true
33,"Abbey Hill Golf Centre - Main Course","Monks Way, Milton Keynes, Buckinghamshire, MK8 8AA","England","Buckinghamshire","","http://www.golfpass.com/","","",true,true,true,true
34,"Abbey Hill Golf Centre - Short Course","Monks Way, Milton Keynes, Buckinghamshire, MK8 8AA","England","Buckinghamshire","","http://www.golfpass.com/",27,1080,true,true,true,true
35,"Aspley Guise & Woburn Sands Golf Club","West Hill, Milton Keynes, Buckinghamshire, MK17 8DX","England","Buckinghamshire","","http://www.golfpass.com/","","",false,true,true,false
36,"Whiteleaf Golf Club","Upper Icknield Way, Princes Risborough, Buckinghamshire, HP17 0LY","England","Buckinghamshire","","http://www.golfpass.com/",66,5388,false,true,false,true
37,"Princes Risborough Golf Club","Lee Road, Princes Risborough, Buckinghamshire, HP27 9NX","England","Buckinghamshire","","http://www.golfpass.com/","","",false,true,true,true
38,"The South Buckinghamshire Golf Club - Academy Course (9 holes)","Stoke Road, Stoke Poges, Slough, Buckinghamshire, SL24PJ","England","Buckinghamshire","","http://www.golfpass.com/",34,2268,true,true,false,false
39,"Wexham Park Foot Golf","Wexham Street, Slough, Slough, Buckinghamshire, SL3 6ND","England","Buckinghamshire","","http://www.golfpass.com/",72,1924,false,false,false,false
40,"Burnham Beeches Golf Club","Green Lane, Slough, Buckinghamshire, SL18EG","England","Buckinghamshire","","http://www.golfpass.com/","","",true,true,true,true
41,"Cypress Lakes Golf & Country Club","Court Road, Burwell, Cambridgeshire, BR6 9BX","England","Cambridgeshire","","http://www.golfpass.com/",71,6562,true,false,true,true
42,"Brampton Park Golf Course","Buckden Road, Brampton,, Cambridge, Cambridgeshire, PE284NF","England","Cambridgeshire","","http://www.golfpass.com/",71,6310,true,true,true,true
43,"Bourn Golf & Country Club","Toft Road, Bourn, Cambridge, Cambridgeshire, CB232TT","England","Cambridgeshire","","http://www.golfpass.com/",72,6529,true,true,true,false
44,"Kingsway Golf Centre Ltd","Cambridge Road, Cambridge, Cambridgeshire, SG8 6EY","England","Cambridgeshire","","http://www.golfpass.com/",33,2329,true,true,false,true
45,"Abbotsley Golf Hotel","Potton Road,, Cambridge, Cambridgeshire, PE19 6XN","England","Cambridgeshire","","http://www.golfpass.com/",72,6321,true,false,true,true
46,"Abbotsley Golf Hotel & Country Club - Cromwell Course","Potton Road, Cambridge, Cambridgeshire, PE19 6XN","England","Cambridgeshire","","http://www.golfpass.com/",70,6164,true,false,true,true
47,"Abbotsley Golf Hotel & Country Club - Huntingdonshire Course","Potton Road,, Cambridge, Cambridgeshire, PE19 6XN","England","Cambridgeshire","","http://www.golfpass.com/","","",true,false,true,true
48,"Cambridge Meridian Golf Club","Comberton Road, Cambridge, Cambridgeshire, CB23 2RY","England","Cambridgeshire","","http://www.golfpass.com/","","",true,true,true,true
49,"Elton Furze Golf Club","Bullock Road, Peterborough, Cambridgeshire, PE7 3TT","England","Cambridgeshire","","http://www.golfpass.com/",70,6279,true,true,true,false
50,"Peterborough Milton Golf Club","Milton Ferry, Peterborough, Cambridgeshire, PE67AG","England","Cambridgeshire","","http://www.golfpass.com/",71,6043,true,true,true,true
51,"Royal Liverpool Golf Club","Meols Drive, Altrincham, Cheshire, CH47 4AL","England","Cheshire","","http://www.golfpass.com/","","",false,false,false,false
52,"High Legh Park Academy Course","Warrington Road, Altrincham, Cheshire, WA16 0WA","England","Cheshire","","http://www.golfpass.com/",32,2323,true,true,true,false
53,"Dunham Forest Golf Club","Oldfield Lane, Altrincham, Cheshire, WA14 4TY","England","Cheshire","","http://www.golfpass.com/","","",true,true,true,true
54,"Ringway Golf Club","Hale Road, Altrincham, Cheshire, WA15 8SW","England","Cheshire","","http://www.golfpass.com/","","",true,true,true,true
55,"Altrincham Golf Course","Stockport Road, Altrincham, Cheshire, WA15 7LP","England","Cheshire","","http://www.golfpass.com/","","",true,true,true,true
56,"Eaton Golf Club","Guy Lane, Waverton, Chester, Cheshire, CH3 7PH","England","Cheshire","","http://www.golfpass.com/",72,6714,true,true,true,true
57,"The Oaks at Mollington Golf Club","Townfield Lane, Chester, Cheshire, CH1 6NJ","England","Cheshire","","http://www.golfpass.com/",72,6529,false,true,true,false
58,"Helsby Golf Club","Towers Ln, Chester, Cheshire, WA6 0JB","England","Cheshire","","http://www.golfpass.com/",70,6260,false,true,true,false
59,"Ellesmere Port Foot Golf","Chester Road, Little Sutton Ellesmere Port, Chester, Cheshire, CH661QF","England","Cheshire","","http://www.golfpass.com/","","",false,false,false,false
60,"Chester Golf Club","Curzon Park North, Chester, Cheshire, CH4 8AR","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,false
61,"Astbury Golf Club","Peel Lane, Congleton, Cheshire, CW123NQ","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,true
62,"Crewe Golf Club Ltd","Fields Road, Crewe, Cheshire, CW1 5TB","England","Cheshire","","http://www.golfpass.com/","","",true,true,false,false
63,"De Vere Wychwood Park - Gorstyhill Course","Wychwood Park, Weston, Crewe, Cheshire, CW2 5GP","England","Cheshire","","http://www.golfpass.com/","","",false,false,false,false
64,"Onneley Golf Club","Bar Hill Road, Crewe, Cheshire, CW3 9QF","England","Cheshire","","http://www.golfpass.com/",70,5740,false,true,true,false
65,"Knights Grange Golf Course","Grange Lane, Hartford, Cheshire, CW7 2PT","England","Cheshire","","http://www.golfpass.com/",70,5921,false,true,false,true
66,"Knights Grange Foot Golf","Grange Lane, Winsford, Hartford, Cheshire, CW72PT","England","Cheshire","","http://www.golfpass.com/","","",false,false,false,false
67,"Brackenwood Municipal","Brackenwood Lane, Bebington, Hoylake, Cheshire, L63 2LY","England","Cheshire","","http://www.golfpass.com/",70,6285,false,false,false,true
68,"Hoylake Golf Club","Carr Lane, Hoylake, Cheshire, CH47 4BG","England","Cheshire","","http://www.golfpass.com/",70,6278,false,true,true,true
69,"Peover Golf Club","Plumley Moor Road, Knutsford, Cheshire, WA16 9SE","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,true
70,"Wilmslow Golf Club","Warford Lane, Knutsford, Cheshire, WA167AY","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,true
71,"Prestbury Golf Club","Macclesfield Road, Prestbury, Macclesfield, Cheshire, SK10 4BJ","England","Cheshire","","http://www.golfpass.com/",71,6406,true,true,false,true
72,"Macclesfield Golf Club","The Hollins, Macclesfield, Cheshire, SK11 7EA","England","Cheshire","","http://www.golfpass.com/",71,5975,false,true,true,false
73,"Shrigley Hall - Par 3 Course","Pott Shrigley, Macclesfield, Cheshire, SK10 5SB","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,true
74,"Brookfield Golf Club","Hankelow, Nantwich, Cheshire, CW3 0JE","England","Cheshire","","http://www.golfpass.com/",70,6128,true,true,true,false
75,"Sandiway Golf Club","The Clubhouse,, Northwich, Cheshire, CW8 2DJ","England","Cheshire","","http://www.golfpass.com/",70,6404,true,true,true,true
76,"Runcorn Golf Club","Clifton Road, Runcorn, Cheshire, WA7 4SU","England","Cheshire","","http://www.golfpass.com/",69,6048,true,true,true,false
77,"Sutton Hall Golf Club","Aston Lane, Runcorn, Cheshire, WA73ED","England","Cheshire","","http://www.golfpass.com/","","",true,true,true,false
78,"Sale Golf Club","Golf Road, Sale, Cheshire, M33 2XU","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,true
79,"Gatley Golf Club","Waterfall Farm, Styal Road Cheadle, Stockport, Cheshire, SK8 3TW","England","Cheshire","","http://www.golfpass.com/",69,5864,false,true,false,false
80,"Romiley Golf Club","Goosehouse Green, Stockport, Cheshire, SK6 4LJ","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,true
81,"Stockport Golf Club","Offerton Road, Stockport, Cheshire, SK2 5HL","England","Cheshire","","http://www.golfpass.com/","","",false,true,true,true
82,"Lymm Golf Club","Whitbarrow Road, Lymm, Warrington, Cheshire, WA139AN","England","Cheshire","","http://www.golfpass.com/",71,6341,false,true,true,false
83,"Mersey Valley Golf & Country Club","Warrington Road, Widnes, Cheshire, WA8 3XL","England","Cheshire","","http://www.golfpass.com/",72,6300,false,false,true,false
84,"Lanhydrock Hotel and Golf Club","Lanhydrock Hotel and Golf Club, Bodmin, Cornwall, PL30 5AQ","England","Cornwall","","http://www.golfpass.com/","","",false,false,true,true
85,"Bude & North Cornwall","Burn View Bude, Bude, Cornwall, EX23 8DA","England","Cornwall","","http://www.golfpass.com/",71,6036,false,true,true,true
86,"Newquay Golf Club","Tower Road, Crantock, Cornwall, TR7 1LT","England","Cornwall","","http://www.golfpass.com/",69,6141,false,true,true,true
87,"The Famous Nine at Gwel An Mor","Gwel an Mor Luxury Resort, Portreath, Cornwall, TR16 4PE","England","Cornwall","","http://www.golfpass.com/",54,2482,false,false,false,true
88,"China Fleet Country Club","North Pill, Saltash, Cornwall, PL12 6LJ","England","Cornwall","","http://www.golfpass.com/",72,6551,true,false,true,true
89,"St. Mellion International Resort - The Jack Nicklaus Signature Course","St Mellion, Saltash, Cornwall, PL12 6SD","England","Cornwall","","http://www.golfpass.com/",72,6593,false,false,false,false
90,"West Cornwall Golf Club","Church Lane, St Ives, Cornwall, TR26 3DZ","England","Cornwall","","http://www.golfpass.com/",69,5850,false,false,true,true
91,"Killiow Golf Club","Kea, Truro, Cornwall, TR3 6AG","England","Cornwall","","http://www.golfpass.com/",71,6124,true,true,false,true
92,"Carlisle Golf & Country Club","Aglionby, Carlisle, Cumberland, CA4 8AG","England","Cumberland","","http://www.golfpass.com/","","",false,true,true,false
93,"Grange Fell Golf Club","Fell Road, Grange Over Sands, Cumberland, LA11 6HB","England","Cumberland","","http://www.golfpass.com/",70,5400,false,false,false,false
94,"Maryport Golf Club","Bankend, Maryport, Cumberland, CA15 6PA","England","Cumberland","","http://www.golfpass.com/",70,5982,false,true,true,true
95,"Workington Golf Club","Branthwaite Road, Workington, Cumberland, CA14 4SS","England","Cumberland","","http://www.golfpass.com/","","",false,true,true,true
96,"Alfreton Golf Club","Wingfield Road, Alfreton, Derbyshire, DE55 7LH","England","Derbyshire","","http://www.golfpass.com/",67,5538,false,true,false,false
97,"Hallowes Golf Club","Hallowes Lane, Chesterfield, Derbyshire, S18 1UR","England","Derbyshire","","http://www.golfpass.com/",71,6101,true,true,true,false
98,"Chesterfield Golf Club","Matlock Road, Walton, Chesterfield, Derbyshire, S42 7LA","England","Derbyshire","","http://www.golfpass.com/",71,6281,false,true,true,false
